restaurant_name,location,cuisine,cost_for_two,rating,votes,budget_category,online_order,book_table,restaurant_type,highlights,listing_type,city
Chaarcoal,Bellandur,north indian,1200,4.0,468,medium,yes,no,Casual Dining,"Egg Biryani, Raita, Gulab Jamun, Chicken Biryani, Fish, Stuffed Kulcha, Chicken Lollipop",Delivery,Sarjapur Road
Coastal Mama,Jp Nagar,"konkan, mangalorean, north indian, seafood",700,4.1,468,medium,no,yes,Casual Dining,"Murgh Ghee Roast, Neer Dosa, Sea Food, Fish, Prawn Ghee Roast, Prawn Curry, Vegetable Biryani",Delivery,Jayanagar
Madurai Idly Shop,Koramangala 6Th Block,south indian,200,3.7,468,low,no,no,Quick Bites,"Tea, Upma, Coffee, Pongal, Podi Idli, Masala Vada, Mini Idlis",Dine-out,Koramangala 4th Block
Amontron,Btm,bengali,650,3.9,468,medium,yes,no,Casual Dining,"Katla Kalia, Basanti Pulao, Biryani, Fish Curry, Aloo Posto, Mutton Kosha, Fish Fry",Delivery,Koramangala 7th Block
Pot Biryani,Domlur,"north indian, chinese, biryani, seafood",600,3.9,467,medium,yes,no,Casual Dining,"Pot Biryani, Boneless Biryani, Raita, Paneer Biryani, Mutton Biryani, Sea Food, Ghee Roast Mutton",Dine-out,Old Airport Road
Domino's Pizza,Jayanagar,"pizza, fast food",400,3.7,466,low,yes,no,Quick Bites,"Garlic Bread, Pasta, Pizza Burger",Dine-out,Jayanagar
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Ulsoor,"cafe, american, continental, steak",800,3.9,466,medium,yes,no,"Cafe, Casual Dining","Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish",Delivery,Residency Road
Litti Twist,Btm,"north indian, bihari",300,4.2,465,low,yes,no,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai",Dine-out,BTM
Ruh's Cafe,Btm,"cafe, american, italian, continental, chinese",500,4.1,465,medium,yes,no,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler",Delivery,Koramangala 5th Block
Thalassery Restaurant,New Bel Road,"kerala, biryani, south indian, north indian, chinese, seafood, juices",600,3.8,465,medium,yes,no,Casual Dining,"Appam, Kerala Parotta, Sea Food, Idiyappam, Chicken Chettinad, Dum Biryani, Egg Curry",Dine-out,New BEL Road
BOX8- Desi Meals,Old Airport Road,"north indian, mughlai, fast food",500,4.3,464,medium,yes,no,"Takeaway, Delivery","Sandwiches, Chocolava, Salads, Rajma, Halwa, Biryani, Chicken Curry",Delivery,Old Airport Road
Chef All Nite,Btm,"chinese, north indian",300,3.8,464,low,yes,no,,"Paneer Manchurian, Gulab Jamun, Noodles, Chicken Noodle, Butter Chicken, Vegetable Biryani",Delivery,Koramangala 7th Block
Domino's Pizza,Indiranagar,"pizza, fast food",800,3.0,464,medium,yes,no,Quick Bites,"Pane Pizza, Garlic Bread, Pepperoni Pizza, Chocolava Cake, Veggie Pizza, Cheese Burst Pizza",Dine-out,Indiranagar
Art of Delight,Koramangala 5Th Block,"ice cream, desserts, beverages",400,4.3,464,low,no,no,Dessert Parlor,"Waffles, Blueberry Cheesecake, Brownie Fudge, Vanilla Ice Cream, Freak Shake, Red Velvet Cheesecake, Nutella Cheesecake",Desserts,BTM
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Ulsoor,"cafe, american, continental, steak",800,3.9,464,medium,yes,no,"Cafe, Casual Dining","Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish",Delivery,Lavelle Road
Biryani Palace,Hsr,"biryani, hyderabadi, chinese",600,3.9,463,medium,yes,no,Quick Bites,"Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita",Delivery,Koramangala 7th Block
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Ulsoor,"cafe, american, continental, steak",800,3.9,463,medium,yes,no,"Cafe, Casual Dining","Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish",Delivery,Brigade Road
Oye Amritsar,Church Street,north indian,600,4.1,463,medium,yes,yes,Casual Dining,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",Delivery,Residency Road
