restaurant_name,location,cuisine,cost_for_two,rating,votes,budget_category,online_order,book_table,restaurant_type,highlights,listing_type,city
Byg Brewski Brewing Company,Sarjapur Road,"continental, north indian, italian, south indian, finger food",1600,4.9,16832,high,yes,yes,Microbrewery,"Cocktails, Butter Chicken, Dahi Kebab, Rajma Chawal, Craft Beer, Teriyaki Fish, Buffalo Wings",Delivery,Sarjapur Road
Toit,Indiranagar,"italian, american, pizza",1500,4.7,14956,high,no,no,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos",Dine-out,Indiranagar
Truffles,Koramangala 5Th Block,"cafe, american, burger, steak",900,4.7,14726,medium,no,no,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert",Dine-out,Koramangala 7th Block
AB's - Absolute Barbecues,Marathahalli,"european, mediterranean, north indian, bbq",1600,4.8,12121,high,no,yes,Casual Dining,"Raj Kachori, Paan Kulfi, Churros, Butter Chicken, Momos, Bbq Prawns, Pudding",Dine-out,Marathahalli
The Black Pearl,Koramangala 5Th Block,"north indian, european, mediterranean",1400,4.7,10550,medium,no,yes,"Casual Dining, Bar","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry",Pubs and bars,Koramangala 7th Block
Big Pitcher,Old Airport Road,"american, continental, north indian, mediterranean",1800,4.6,9300,high,no,yes,"Pub, Microbrewery","Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food",Drinks & nightlife,Old Airport Road
Onesta,Koramangala 4Th Block,"pizza, cafe, italian",600,4.4,9085,medium,yes,yes,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza",Desserts,Koramangala 7th Block
Arbor Brewing Company,Brigade Road,"american, continental",2000,4.5,8419,high,no,yes,"Pub, Microbrewery","Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Cocktails, Belgian Brew Beer, Chicken Bbq Wings",Dine-out,Residency Road
Empire Restaurant,Indiranagar,"north indian, mughlai, south indian, chinese",750,4.1,8304,medium,yes,no,Casual Dining,"Dum Biryani, Fiery Chicken, Butter Chicken, Pepper Chicken, Paneer Tikka Masala, Chicken Grill, Chilli Chicken",Dine-out,Old Airport Road
Prost Brew Pub,Koramangala 4Th Block,"american, continental, north indian, salad",1800,4.5,7871,high,no,yes,"Pub, Microbrewery","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs",Pubs and bars,Koramangala 7th Block
Church Street Social,Church Street,"american, north indian, chinese, finger food, momos",1500,4.3,7584,high,yes,no,Lounge,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog",Delivery,Residency Road
Hoot,Sarjapur Road,"continental, italian, north indian",1400,4.2,7330,medium,yes,yes,"Microbrewery, Pub","Sea Food, Craft Beer, Cocktails, Tempura Prawns, Dahi Ke Kebab, Tandoori Platter, Pasta",Delivery,Sarjapur Road
The Black Pearl,Marathahalli,"north indian, european, mediterranean, bbq",1500,4.8,7284,high,no,yes,"Casual Dining, Bar","Dahipuri, Jal-jeera, Jalebi Rabri, Chicken Grill, Mutton Seekh Kabab, Mutton Curry, Chocolate Sandwich",Dine-out,Marathahalli
Barbeque Nation,Indiranagar,"north indian, european, mediterranean, bbq, kebab",1600,4.7,7270,high,no,yes,Casual Dining,"Mutton Curry, Tender Coconut Payasam, Mutton Seekh Kebab, Kulfi, Kheer, Chicken Biryani, Brownie",Dine-out,Old Airport Road
Meghana Foods,Koramangala 5Th Block,"biryani, seafood, andhra, north indian",600,4.4,7238,medium,yes,no,Casual Dining,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food",Dine-out,Koramangala 6th Block
Flechazo,Marathahalli,"asian, mediterranean, north indian, bbq",1400,4.7,7154,medium,no,yes,Casual Dining,"Pizza, Lauki Halwa, Keema Pav, Mutton Kebab, Crab Sushi, Appam, Mutton Chops",Dine-out,Marathahalli
The Hole in the Wall Cafe,Koramangala 4Th Block,"cafe, american, burger",600,4.6,7137,medium,no,no,Cafe,"Waffles, Healthy Breakfast, English Breakfast, Pancakes, Burgers, Sandwiches, Mushroom Omelette",Dine-out,Koramangala 7th Block
Biergarten,Whitefield,"continental, european, bbq, chinese, asian",2400,4.7,7064,high,no,yes,"Microbrewery, Pub","Wheat Beer, Risotto, Craft Beer, Caesar Salad, Pizza, Hefeweizen, Cheesy Garlic Bread",Dine-out,Whitefield
Vapour Pub & Brewery,Indiranagar,"north indian, continental, chinese",1400,4.2,6998,medium,no,yes,"Microbrewery, Pub","Pesto Pasta, Craft Beer, Wheat Beer, Cocktails, Crispy Chilli Corn, Butter Chicken, Paneer Tikka",Drinks & nightlife,Old Airport Road
Empire Restaurant,Koramangala 5Th Block,"north indian, mughlai, south indian, chinese",750,4.1,6959,medium,yes,no,Casual Dining,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma",Dine-out,Koramangala 6th Block
TBC Sky Lounge,Hsr,"continental, asian, italian, north indian",1000,4.7,6745,medium,no,yes,"Casual Dining, Bar","Kulcha, Cocktails, Peri Peri Chicken, Masala Peanuts, Virgin Colada, Apple Pie, Sea Food",Drinks & nightlife,HSR
AB's - Absolute Barbecues,Btm,"european, mediterranean, north indian, bbq",1600,4.9,6490,high,no,yes,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema",Dine-out,Koramangala 7th Block
Chili's American Grill & Bar,Malleshwaram,"american, tex-mex, burger, bbq, mexican",1400,4.8,6470,medium,yes,yes,"Casual Dining, Bar","Veg Platter, Burgers, Mushroom Soup, Cocktails, Nachos, Lemon Margarita, Chicken Fajita",Dine-out,Rajajinagar
Fenny's Lounge And Kitchen,Koramangala 7Th Block,"mediterranean, pizza, continental, seafood, salad",1600,4.5,6385,high,no,yes,"Bar, Casual Dining","Caramel Pudding, Cocktails, Pizza, Mocktails, Wedges, Bbq Chicken, Veg Starter",Dine-out,Koramangala 7th Block
Windmills Craftworks,Whitefield,"american, north indian, salad",2500,4.6,5954,high,no,no,"Microbrewery, Pub","Keema Pav, Cocktails, Craft Beer, Pork Chops, Mocktails, Hefeweizen, Nachos",Dine-out,Whitefield
Brew and Barbeque - A Microbrewery Pub,Marathahalli,"continental, north indian, bbq, steak",1400,4.6,5913,medium,yes,yes,"Microbrewery, Pub","Craft Beer, Bbq Platter, Cocktails, Nachos, Pizza, Cosmopolitan, Wheat Beer",Drinks & nightlife,Marathahalli
Smoke House Deli,Indiranagar,"european, italian, desserts, salad, juices, steak",1600,4.6,5448,high,yes,yes,Casual Dining,"Cappuccino, Pasta, Cucumber Spritzer, Cocktails, Murgh Platter, Mocktails, Burgers",Dine-out,Old Airport Road
Glen's Bakehouse,Indiranagar,"bakery, cafe, italian, desserts",600,4.3,5352,medium,yes,no,"Bakery, Cafe","Coffee, Pizza, Cheesecake, Pasta, Potato Salad, Sandwiches, Chicken Pot Pie",Delivery,Old Airport Road
Hard Rock Cafe,St. Marks Road,"american, bbq",2500,4.5,5294,high,no,yes,"Casual Dining, Bar","Burgers, Cocktails, Legendary Hrc Burger, Nachos, Sandwiches, Bloody Mary, Mocktails",Drinks & nightlife,Residency Road
Empire Restaurant,Jayanagar,"north indian, mughlai, south indian, chinese",750,4.4,5060,medium,yes,no,Casual Dining,"Chicken Grill, Ghee Rice, Butter Chicken, Shawarma, Mutton Shaadi Ki Biryani, Chicken Tikka Masala, Mutton Keema Dosa",Dine-out,Basavanagudi
The Boozy Griffin,Koramangala 5Th Block,"european, continental",1800,4.6,5024,high,no,yes,"Casual Dining, Pub","Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges",Pubs and bars,Koramangala 7th Block
Chili's American Grill & Bar,Whitefield,"american, tex-mex, burger, bbq, mexican",1400,4.6,4957,medium,yes,no,Casual Dining,"Tex Mex, Burgers, Chaap, Cocktails, Chaat, Mushroom Soup, Pork Ribs",Dine-out,Whitefield
Onesta,New Bel Road,"pizza, cafe, italian",600,4.4,4897,medium,yes,yes,"Casual Dining, Cafe","Oreo Delight, Apple Pie, Barbeque Chicken, Bbq Chicken, Stuffed Pizza, Ravioli, Mojito",Dine-out,New BEL Road
Chianti,Koramangala 5Th Block,italian,1500,4.7,4872,high,no,yes,Casual Dining,"Pasta, Tiramisu, Wine, Barbeque Chicken Pizza, Salads, Brownie Chocolate, Bruschettas",Dine-out,Koramangala 7th Block
Hammered,Cunningham Road,"north indian, thai, japanese, continental, cafe",1300,4.7,4845,medium,yes,yes,"Pub, Cafe","Sangria, Chicken Satay, Crispy Corn, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails",Drinks & nightlife,Residency Road
High Ultra Lounge,Malleshwaram,"japanese, thai, chinese, korean",2600,4.1,4781,high,no,yes,"Lounge, Casual Dining","Cocktails, Salmon Sushi, Jumbo Prawns, Chocolate Cake, Mocktails, Pad Thai Noodle, Sushi Platter",Dine-out,Rajajinagar
Chutney Chang,Church Street,"north indian, chinese, bbq",1500,4.2,4752,high,yes,yes,Casual Dining,"Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry",Buffet,Residency Road
Koramangala Social,Koramangala 7Th Block,"american, north indian, chinese, finger food",1500,4.6,4714,high,yes,no,Lounge,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha",Dine-out,Koramangala 7th Block
Onesta,Indiranagar,"pizza, cafe, italian",600,4.3,4709,medium,yes,yes,"Casual Dining, Cafe","Bbq Pizza, Choux Pastry, Bbq Chicken, Tiramisu, Barbeque Chicken, Chicken Calzone, Pasta",Delivery,Old Airport Road
The Boozy Griffin,Marathahalli,"european, continental",1800,4.8,4705,high,no,yes,Pub,"Singapore Sling, Sea Food Platter, Cocktails, Long Island Iced Tea, Vanilla Ice Cream, Martini, Ghee Rice",Drinks & nightlife,Marathahalli
Barleyz,Koramangala 6Th Block,"north indian, continental, chinese",2000,3.8,4660,high,no,no,"Lounge, Microbrewery","Tandoori Chicken, Fish Chilli, Cocktails, Pizza, Craft Beer, Chaat, Long Island Iced Tea",Drinks & nightlife,Koramangala 7th Block
The 13th Floor,Mg Road,"asian, north indian, thai",1700,4.4,4616,high,no,yes,Lounge,"Cocktails, Lasagne, Mocktails, Martini, Mutton Pepper, Long Island Iced Tea, Mojito",Drinks & nightlife,Residency Road
Meghana Foods,Jayanagar,"biryani, andhra, north indian, seafood",600,4.5,4569,medium,yes,no,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Vegetable Biryani, Raita, Chicken Kebab, Lemon Chicken",Dine-out,Basavanagudi
House Of Commons,Koramangala 5Th Block,"continental, asian, north indian",1000,4.7,4470,medium,no,yes,Bar,"Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini",Pubs and bars,Koramangala 7th Block
Vidyarthi Bhavan,Basavanagudi,south indian,150,4.4,4460,low,no,no,Quick Bites,"Filter Kaapi, Filter Coffee, Khara Bhath, Maddur Vada, Crispy Masala Dosa, Kesari Bath, Ghee Masala Dosa",Dine-out,Basavanagudi
Chianti,Indiranagar,italian,1500,4.6,4453,high,no,yes,Casual Dining,"Pasta, Pizza, Salads, Tiramisu, Wine, Sangria, Bruschettas",Dine-out,Old Airport Road
Plan B,Brigade Road,"american, continental, bbq, steak",1200,4.1,4448,medium,no,no,"Casual Dining, Pub","Burgers, Beer, Veg Lasagna, Peri Peri Chicken Wings, Barbecue Wings, Sandwiches, Beef Steak",Dine-out,Residency Road
CTR,Malleshwaram,south indian,150,4.8,4421,low,yes,no,Quick Bites,"Benne Masala Dosa, Filter Coffee, Chai, Butter Masala Dosa, Crispy Vada, Tea, Kesari Bath",Delivery,Rajajinagar
Onesta,Jp Nagar,"pizza, cafe, italian",600,4.3,4421,medium,yes,yes,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza",Dine-out,Jayanagar
Brewsky,Jp Nagar,"continental, american",1600,4.3,4325,high,yes,yes,Microbrewery,"Pork Chops, Craft Beer, Chicken Biryani, Chowmein, Cocktails, Mocktails, Drunken Chicken Wings",Dine-out,Jayanagar
The Black Rabbit,Indiranagar,"continental, finger food",1500,4.3,4239,high,no,yes,"Bar, Casual Dining","Burgers, Spicy Fries, Cosmopolitan, Cocktails, Peri Peri Chicken, Custard, Pepperoni Pizza",Dine-out,Old Airport Road
The Fisherman's Wharf,Sarjapur Road,"seafood, goan, north indian, continental, asian",1400,4.3,4139,medium,yes,yes,"Casual Dining, Bar","Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab",Delivery,Sarjapur Road
Communiti,Residency Road,"continental, bbq, salad",1500,4.6,4119,high,no,no,"Microbrewery, Casual Dining","Pizza, Cocktails, Peri Peri Chicken, Craft Beer, Mocktails, Nachos, Pasta",Dine-out,Residency Road
Sotally Tober,Koramangala 4Th Block,"asian, burger, pizza, chinese, finger food",1200,4.4,4096,medium,no,yes,"Bar, Casual Dining","Cocktails, Barbeque Chicken Pizza, Nachos, Chocolate Martini, Bbq Chicken Pizza, Wedges, Beer",Dine-out,Koramangala 7th Block
Brooks and Bonds Brewery,Koramangala 5Th Block,"continental, mediterranean, north indian, chinese, finger food",1600,4.5,3996,high,yes,yes,"Casual Dining, Microbrewery","Beef Chilli, Salad, Cocktails, Pizza, Craft Beer, Mango Cider, Potato Wedges",Dine-out,Koramangala 7th Block
The London Curry House - The Royale Senate Hotel,Race Course Road,"pizza, north indian, modern indian",1300,4.5,3960,medium,no,no,"Casual Dining, Bar","Soan Papdi, Mocktails, Panipuri, Kulfi, Cocktails, Misal Pav, Honey Chilli Potatoes",Pubs and bars,Malleshwaram
The Globe Grub,Marathahalli,"continental, north indian, asian, italian",1300,4.8,3932,medium,no,yes,Casual Dining,"Mutton Curry, Mutton Seekh, Brownie, Gol Gappe, Fish, Rabri, Chicken Curry",Dine-out,Marathahalli
Gilly's Restobar,Koramangala 5Th Block,"finger food, continental, north indian",1000,4.5,3923,medium,no,yes,"Pub, Casual Dining","Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari",Pubs and bars,Koramangala 7th Block
Truffles,New Bel Road,"cafe, american, burger, steak",900,4.7,3916,medium,no,no,"Cafe, Casual Dining","Burgers, Pasta Arrabiata, Ferrero Rocher Milkshake, Veg Pattice, Pesto Pasta, Rolls, Salads",Dine-out,New BEL Road
Monkey Bar,Indiranagar,"american, asian, european, north indian",1400,4.3,3890,medium,yes,no,Pub,"Cocktails, Burgers, Nachos, Sandwiches, Butterfly Chicken, Pizza, Dabeli",Pubs and bars,Old Airport Road
Three Dots & A Dash,Indiranagar,"european, continental",1300,4.1,3864,medium,no,yes,"Casual Dining, Bar","Cocktails, Pork Dumplings, Pork Steak, Cosmopolitan, Pizza, Mocktails, Chicken Pasta",Drinks & nightlife,Indiranagar
Barbeque Nation,Jp Nagar,"north indian, european, mediterranean, bbq, kebab",1600,4.8,3864,high,no,yes,Casual Dining,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta",Dine-out,Jayanagar
Onesta,Hsr,"pizza, cafe, italian",600,4.4,3859,medium,yes,yes,"Casual Dining, Cafe","Banana Smoothie, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli, Stuffed Chicken Pizza",Delivery,Sarjapur Road
Dyu Art Cafe,Koramangala 5Th Block,"cafe, italian, fast food",800,4.5,3854,medium,no,no,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie",Dine-out,Koramangala 7th Block
Empire Restaurant,Hsr,"north indian, mughlai, south indian, chinese",750,3.9,3833,medium,yes,no,Casual Dining,"Mutton Varuval, Brain Fry, Chicken Grill, Ghee Rice, Jumbo Shawarma, Mutton Raan Biriyani, Butter Chicken",Dine-out,HSR
The Fatty Bao - Asian Gastro Bar,Indiranagar,"japanese, sushi, asian",1200,4.6,3823,medium,yes,no,"Casual Dining, Bar","Ramen, Cocktails, Crab Sushi, Maki Roll, Creme Brulee, Thai Chicken Salad, Beef Salad",Dine-out,Old Airport Road
Soda Bottle Opener Wala,Lavelle Road,"parsi, north indian",1300,4.4,3730,medium,yes,yes,"Casual Dining, Irani Cafee","Okra, Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Kulfi",Drinks & nightlife,Residency Road
Tim Tai,Koramangala 5Th Block,"chinese, thai, asian, malaysian, vietnamese, sri lankan, burmese",1400,4.4,3677,medium,yes,yes,Casual Dining,"Noodles, Rice Paper Rolls, Prawn Dumplings, Vegetable Dimsums, Prawn Dim Sums, Rendang Chicken, Pad Thai",Delivery,Koramangala 7th Block
LOFT38,Indiranagar,"italian, bbq, asian, fast food",1900,4.3,3659,high,no,yes,"Lounge, Casual Dining","Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea",Dine-out,Old Airport Road
Barbeque Nation,Koramangala 1St Block,"north indian, european, mediterranean, bbq, kebab",1600,4.7,3632,high,no,yes,Casual Dining,"Cocktails, Mutton Seekh, Tangdi Chicken, Mango Ice Cream, Biryani, Malai Kulfi, Fish",Dine-out,Koramangala 6th Block
Kota Kachori,Koramangala 6Th Block,"street food, desserts, north indian, mithai, rajasthani",400,4.3,3624,low,yes,no,Quick Bites,"Pyaz Kachori, Chaat, Gajar Ka Halwa, Shrikhand, Jalebi Rabri, Churma, Boondi Raita",Dine-out,Koramangala 7th Block
Truffles,St. Marks Road,"cafe, american, burger, steak",900,4.5,3614,medium,no,no,Cafe,"Burgers, Pasta, Cheese Burger, Potato Mash, Mocktails, Ferrero Rocher Milkshake, Peri Chicken",Dine-out,Brigade Road
Smally's Resto Cafe,Church Street,"cafe, italian, burger, american, steak",650,4.2,3581,medium,yes,no,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger",Dine-out,Residency Road
House Of Commons,Hsr,"continental, asian, north indian",1000,4.7,3573,medium,no,yes,Bar,"Spaghetti, Ghee Roast Mutton, Draft Beer, Pinacolada, Pizza, Cocktails, Craft Beer",Pubs and bars,HSR
The Biere Club,Lavelle Road,"continental, bbq, finger food",1700,4.3,3498,high,yes,yes,"Pub, Microbrewery","Wheat Beer, Pizza, Cocktails, Virgin Sangria, Pork Chops, Meatballs, Craft Beer",Drinks & nightlife,Residency Road
Jalsa Gold,Marathahalli,"north indian, mughlai, italian",1300,4.5,3486,medium,no,yes,Casual Dining,"Phirni, Butter Chicken, Cocktails, Kadhai Paneer, Chicken Curry, Cucumber Juice, Rabri",Dine-out,Marathahalli
Sultans of Spice,Koramangala 5Th Block,"north indian, mughlai, salad",1300,4.5,3473,medium,yes,yes,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh",Dine-out,Koramangala 7th Block
Gramin,Koramangala 7Th Block,north indian,600,4.3,3468,medium,yes,no,Casual Dining,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",Dine-out,Koramangala 7th Block
Delhi Highway,Indiranagar,"north indian, mughlai",1500,4.4,3439,high,yes,yes,Casual Dining,"Kheer, Dum Aloo Kashmiri, Lunch Thali, Dahipuri, Tandoori Mushrooms, Chaat, Lassi",Dine-out,Old Airport Road
Meghana Foods Grand,Marathahalli,"biryani, andhra, north indian, seafood",600,4.2,3367,medium,yes,no,Casual Dining,"Andhra Thali, Veg Thali, Lollipop Biryani, Chicken Boneless Biryani, Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani",Delivery,Marathahalli
Little Italy,Indiranagar,"italian, pizza, mexican",1400,4.2,3307,medium,yes,yes,Casual Dining,"Pasta, Macaroni, Caesar Salad, Wood Fire Pizza, Ravioli, Chocolate Bomb, Cocktails",Dine-out,Old Airport Road
Empire Restaurant,Church Street,"north indian, mughlai, south indian, chinese",750,4.0,3286,medium,yes,no,Casual Dining,"Paneer Tikka, Bheja Fry, Ghee Rice, Jumbo Shawarma, Brain Fry, Raita, Biryani",Buffet,Residency Road
Paradise,Indiranagar,"biryani, north indian, kebab",800,4.0,3268,medium,yes,no,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Mutton Biryani, Hydrabadi Biryani, Vegetable Biryani, Reshmi Kebab, Mutton Seekh Kabab",Delivery,Old Airport Road
Empire Restaurant,Kammanahalli,"north indian, mughlai, south indian, chinese",750,4.1,3248,medium,yes,no,Casual Dining,"Ghee Rice, Chicken Grill, Alfam Chicken, Mutton Biryani, Fruit Salad, Peri Peri Chicken, Shawarma",Dine-out,Kammanahalli
Punjabi by Nature 2.0,Btm,north indian,500,4.2,3236,medium,no,no,"Casual Dining, Microbrewery","Paneer Tikki, Mutton Raan, Mango Margarita, Craft Beer, Lamb, Kulcha, Kheer",Delivery,Koramangala 6th Block
ECHOES Koramangala,Koramangala 5Th Block,"chinese, american, continental, italian, north indian",750,4.7,3220,medium,no,no,"Cafe, Casual Dining","Pasta, Mezze Platter, Momos, Pizza, Waffles, Chocolate Milkshake, Pancakes",Dine-out,Koramangala 7th Block
Empire Restaurant,Bannerghatta Road,"north indian, mughlai, south indian, chinese",750,4.3,3178,medium,yes,no,Casual Dining,"Chicken Satay, Mutton Brain, Egg Biryani, Paneer Tikka Masala, Rolls, Lemon Chicken, Butter Chicken",Buffet,Bannerghatta Road
Buff Buffet Buff,Koramangala 5Th Block,"north indian, chinese, continental, thai, salad",1500,4.5,3177,high,yes,yes,"Casual Dining, Bar","Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads",Pubs and bars,Koramangala 7th Block
Tipsy Bull - The Bar Exchange,Indiranagar,"chinese, continental, north indian, mexican",1400,4.6,3173,medium,no,yes,"Bar, Casual Dining","Cocktails, Peri Peri Chicken, Biryani, Mocktails, Pizza, Sangria, Chicken Dim Sum",Drinks & nightlife,Old Airport Road
Ebony,Mg Road,"north indian, south indian",1500,4.3,3152,high,yes,yes,Casual Dining,"Appam, Khao Suey, Chicken Biryani, Kebab Platter, Rabri, Prawn, Pad Thai",Dine-out,MG Road
Skyye,Lavelle Road,continental,2500,4.2,3140,high,no,yes,Lounge,"Cocktails, Long Island Iced Tea, Mojito, Peri Peri Chicken, Mocktails, Chicken Satay, Beer",Drinks & nightlife,Residency Road
Float,Marathahalli,"north indian, japanese",1500,4.4,3133,high,yes,yes,"Casual Dining, Bar","Butter Fish, Chicken Burritos, Cocktails, Mocktails, Rabri, Exotic Veg Pizza, Potato Wedges",Delivery,Sarjapur Road
The Druid Garden,Sahakara Nagar,"asian, continental, european, north indian, mediterranean",1700,4.3,3077,high,yes,yes,"Microbrewery, Casual Dining","Beer, Crab Ravioli, Cocktails, Donne Biryani, Chicken Tacos, Tiramisu, Seafood Ravioli",Delivery,New BEL Road
Ruh,Bellandur,"north indian, mughlai, mediterranean, iranian",1000,4.0,3056,medium,no,yes,Casual Dining,"Fattoush Salad, Mutton Biryani, Mutton Roganjosh, Panipuri, Mocktails, Choco Bomb, Cocktails",Dine-out,Sarjapur Road
Kapoor's Cafe,Whitefield,north indian,800,4.2,3021,medium,no,no,Casual Dining,"Paratha, Matka Lassi, Rabri, Puri Sabzi, Masala Soda, Chaach, Veg Kolhapuri",Delivery,Whitefield
AB's - Absolute Barbecues,Whitefield,"european, mediterranean, north indian, bbq",1600,4.8,3009,high,no,yes,Casual Dining,"Mutton Roganjosh, Mutton Keema, Mutton Curry, Macaroon, Paan Ice Cream, Sea Food, Biryani",Dine-out,Whitefield
Cafe Thulp,Koramangala 1St Block,"cafe, burger, italian, salad",1000,4.1,3007,medium,yes,no,Cafe,"Burgers, Fries, Pasta, Pork Chops, Chocolate Milkshake, Sandwiches, Waffles",Delivery,Koramangala 4th Block
Sidewalk - The Garden Bar,Marathahalli,"north indian, continental, chinese, thai",1300,4.4,3004,medium,yes,yes,"Bar, Casual Dining","Veg Burger, Pesto Pasta, Cocktails, Pizza, Craft Beer, Chicken Steak, Prawn",Delivery,Marathahalli
Flechazo,Whitefield,"asian, mediterranean, north indian, bbq",1400,4.9,3004,medium,no,yes,Casual Dining,"Pizza, Mutton Kebab, Chicken Biryani, Sea Food, Chicken Dim Sum, Pasta, Mocktails",Dine-out,Whitefield
Phobidden Fruit,Indiranagar,"vietnamese, salad",1100,4.4,2950,medium,no,no,Casual Dining,"Pho, Noodles, Salads, Mocktails, Veg Momos, Banh Cuon, Pork Chops",Dine-out,Old Airport Road
Tippler,Indiranagar,"russian, continental, north indian",1300,4.2,2946,medium,no,yes,Pub,"Cocktails, Pie, Peri Peri Fries, Long Island Iced Tea, Chicken Steak, Mocktails, Nachos",Pubs and bars,Old Airport Road
The Only Place,Church Street,"italian, american, steak, continental, bbq, salad",1000,4.2,2938,medium,yes,yes,Casual Dining,"Steak, Burgers, Meatballs, Apple Pie, Salads, Bruschettas, Chicken Sizzler",Delivery,Residency Road
Hammered,New Bel Road,"north indian, continental, cafe",1200,4.5,2935,medium,yes,yes,"Pub, Cafe","Mocktails, Cocktails, Pasta, Beer, Tacos, Pizza, Chicken Guntur",Pubs and bars,New BEL Road
Karama Restaurant,Frazer Town,"arabian, north indian, beverages",750,4.4,2907,medium,yes,yes,Casual Dining,"Salads, Veg Pulao, Sea Food, Popcorn Chicken, Karachi Naan, Rabri, Butter Chicken",Delivery,MG Road
Onesta,Marathahalli,"pizza, cafe, italian",600,4.6,2906,medium,yes,yes,"Casual Dining, Cafe","Ricotta Ravioli, Pasta, Bbq Chicken Pizza, Butter Chicken Pizza, Farmhouse Pizza, Mojito, Barbeque Chicken Pizza",Cafes,Marathahalli
Mavalli Tiffin Room (MTR),Basavanagudi,south indian,250,4.5,2896,low,no,no,Quick Bites,"Rava Idli, Filter Coffee, Ghee Masala Dosa, Badam Halwa, Upma, Raita, Rasam Rice",Dine-out,Basavanagudi
Vapour Brewpub and Diner,Sarjapur Road,"north indian, continental, italian",1400,4.5,2878,medium,no,yes,"Microbrewery, Pub","Cheese Pasta, Cocktails, Craft Beer, Stout, Bruschettas, Pinacolada, Wheat Beer",Drinks & nightlife,Sarjapur Road
A Hole Lotta Love Cafe,Koramangala 5Th Block,"cafe, american, burger, sandwich, beverages",600,4.3,2874,medium,yes,no,Cafe,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta",Dine-out,Koramangala 7th Block
Green Theory,Residency Road,"italian, salad, healthy food, cafe, asian, desserts, pizza",800,4.2,2872,medium,yes,yes,"Casual Dining, Cafe","Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Potato Skins, Kiwi Lemonade",Dine-out,Residency Road
1131 Bar + Kitchen,Indiranagar,"continental, asian, italian, north indian",1500,4.4,2861,high,no,yes,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Nachos, Sangria, Craft Beer, Mocktails",Pubs and bars,Old Airport Road
